,Avaliações
0,"Pense num lugar onde tudo é lindo. Adicione a esta beleza, excelência no serviço, sofisticação e muito conforto. O resultado desta soma é a Herdade do Grous.  Não é surpresa alguma que o Alentejo e o Vale do Douro são os dois destinos enoturísticos mais estruturados de Portugal. Ambas as regiões dividem o posto de maiores e mais conceitudas D.O´s do país. Mesmo assim, tudo que vi e vivenciei no hotel desta vinícola me surpreenderam positivamente. Natureza belíssima, ótimo restaurante, quartos lindos e muito bem equipados, serviço cortez e eficiente, lazer bastante completo (duas piscinas, sauna, sala para leitura) e vinhedos mágicos, tudo isso compõe magistralmente a Herdade do Grous.  Apesar de tudo ali ter me surpreendido positivamente, o quarto onde nos hospedamos foi além.
"
1,"Fomos a Herdade para um almoço de familia. Lugar lindo, bem cuidado e com atendimento primoroso. A comida é deliciosa e a harmonização com os vinhos é perfeita. Vale visitar a Herdade nem que seja só para uma refeição.
"
2,"Jantar espetacular em convívio com colegas de curso, onde conhecemos alguns locais bonitos na Herdade! Recomendo vivamente, é uma herdade linda, infelizmente só a visitei de noite, mas de dia deve ser ainda melhor! Tudo bem organizado e higiene espetacular.
"
3,"Desde nossa chegada,ficamos muito bem impressionados com o atendimento da equipe.O quarto é lindo e muito limpo e com uma vista magnífica!!O café da manhã é delicioso!Nota 10 para este hotel!! Fizemos uma degustaçao de vinhos da propriedade:uma experiência muito legal!!
"
4,"Adorei a herdade. É enorme. Foi pena ser pouco tempo e não dar para visitar tudo como deve ser. A comida é óptima. Muita comodidade. Simpatia por parte dos funcionários da herdade. Tudo muito limpo...
"
5,"Por Variados motivos as pessoas procuram este local pra passar em alguns dias. A busca principal de poder saborear um bom vinho no Alentejo ver no lugar agradável. O Hotel desfruta de um cenário espetacular, conforto incomparável de seus quartos, e o atendimento classe A. O calor da região é convidativo pra você entrar na piscina, degustar algumas frutas, para depois, no frescor da noite saborear os blends da Grous. Eles disponibilizam bicicletas pra você andar pelo vasto campo da fazenda.
"
6,"Herdade sempre muito bem arranjada, staff bastante prestável e simpático. Possibilidade de caminhadas no interior da Herdade, de salientar a casa da árvore, a lagoa e as vinhas. Nota 10 para a nossa querida Sandra, com a sua simpatia, profissionalismo e empenho tomou conta do nosso quarto com muito carinho.
"
7,"Estivemos hospedados 2 noites na Herdade dos Grous e ficámos bastante surpreendidos pela positiva: staff bastante simpático e preocupado, instalações limpas e bem conservadas e ambiente calmo e acolhedor.  Á chegada, receberam- nos com muita simpatia, encaminhando- nos para o quarto que ficava a 1,5km da recepção. Não houve problema em encontrarmos o sítio onde iríamos dormir pois fomos devidamente conduzidos por uma funcionária do espaço. Quisemos fazer a prova de vinhos, onde nos foi explicado o processo de elaboração dos mesmos, sempre com grande sorriso e respondendo a todas as nossas questões. No final fomos encaminhados para o bar, onde provámos alguns dos vinhos feitos na Herdade. Nessa noite, quisemos desfrutar de um jantar no restaurante, tendo adorado o espaço, a
"
8,"Gostamos imenso da nossa estadia na Herdade dos Grous. Foi uma experiência espetacular e relaxante. Quartos muito bonitos e confortáveis. Prova de vinhos 5 estrelas. A Herdade é maravilhosa e o contacto com a natureza que a mesma oferece é algo único. Staff maravilhoso, muito simpático, muito acessível e disponível para ajudar.  Obrigado a todo o staff da Herdade dos Grous pela experiência!!! Esperamos voltar em breve!!!
"
9,"Sou frequentadora da Herdade dos Grous há 8 anos e saio sempre com vontade de voltar.  Desta vez numa estadia mais longa, uma semana de férias em Agosto longe da habitual confusão normal deste mês.  Quarto grande e sempre limpo. A simpatia das funcionárias da recepção e das senhoras que tratam dos quartos, fazem-nos sentir que estamos em casa.  Uma experiência a repetir... Obviamente!
"
10,"Viemos passar duas noites com a nossa filha pequena a esta Herdade e adoramos. Os quartos são enormes e muito acolhedores com um aquecimento fantástico (estivemos no inverno). O pequeno almoço é bom e o restaurante para jantar também gostamos muito com comida de excelente qualidade. A Herdade é linda e principalmente para as crianças é fantástico porque tem muitos animais e espaço para passear de bicicleta. Ideal para um fim de semana de descanso e aproveitar em família.
"
11,"Lugar lindo, muito agradável, especial para quem quiser relaxar. O atendimento é muito cordial, o quarto é extremamente confortável, o café da manhã é muito bom. A única coisa ruim é que a sauna e piscina ficam em outro prédio, um pouco afastado do prédio principal que nós ficamos  onde tem o restaurante e bar.
"
12,"Este hotel é uma verdadeira jóia do Alentejo. Ótimas acomodaçöes e instalações espaçosas para você desfrutar. O hotel dispõe de bicicletas e trilhas, nas quais você irá atravessar os vinhedos e verá muitos pássaros em toda sua extensão. Piscina de borda infinita e uma ótima sauna também estão a disposição. Todo o staff do hotel é muito atencioso e fará voce se sentir bem a vontade. Dica importante: Não use o aplicativo Waze para chegar a este hotel, pois ele levará voce por um caminho de terra muito ruim, apesar do acesso ao hotel ser todo asfaltado. Nosso carro acabou atolando e tivemos que contar com a amabilidade da Lilia para nos socorrer.  Use o google maps!!!
"
