sentiment,review
negative,"Boa relação preços/qualidade. Staff simpático, atento ao cumprimentos dos normas de proteção no contexto covid-19."
negative,"Adorei o local. As opções são interessantes, provei um dos pratos do dia e sai extremamente satisfeito. O antedimento é excepcional. O que mais me agradou foi a simplicidade e simpatia das pessoas. Perfeito"
negative,"Moderno, limpo, rápido atendimento, central, comida boa e com bom preço. De sobremesa os crepes com gelado são divinas"
positive,"Funcionários muito educados, simpáticos, sugeriram como sobremesa um doce muito bom, com um misto de frio e quente muito saboroso... a repetir!!"
positive,Quando chegámos o restaurante estava encerrado para descanso do pessoal no entanto o dono Ioan abriu o restaurante para nós às 15:30. Bifinhos com cogumelos e feijoada de chocos foi o que pedimos para almoçar. Estava espectacular. Recomendo a todos. Bom e barato. Muito obrigado.
positive,"Excelente restaurante, pratos apetitosos, staff muito simpático, ambiente renovado e muito acolhedor. excelente relação qualidade-preço!"
positive,O pessoal é muito simpático. O ambiente é acolhedor e calmo. A comida é boa. Encontra-se bem localizado.
positive,"Boa comida, bom ambiente, bom atendimento. Dos melhores restaurantes de Beja para fazer jantares de grupo."
positive,"É muito bom ! Tem preços em conta e a comida é top ! Fui num jantar de anos , fomos tratados 5* recomendo vivamente !"
positive,"Muito bom. A comida, o ambiente e o atendimento são ótimos. Ambiente simples e aconchegante. Vinhos bons."
positive,"Nós comemos aqui para o almoço, tivemos o salmão e ficamos muito impressionados. Nós somos do noroeste dos EUA, incluindo o Alasca, e tivemos muito salmão. Isso foi preparado com muita simplicidade e muito saboroso, tanto que voltamos para jantar no dia seguinte. O casal que era dono do restaurante era muito bom, eles imigraram da Romênia e nós gostamos de conhecê-los. Os preços são muito razoáveis: tivemos dois jantares de salmão, sopa, salada, 1/2 litro de vinho e chegou a apenas 20 euros. Após quatro dias em Beja, este é definitivamente o nosso restaurante favorito."
positive,"O serviço pode ser lento e severo - na verdade, a primeira vez que tentamos ir, fomos ignorados e deixados - mas a comida é boa e com preços razoáveis."
positive,Comida deliciosa: saborosa e em boa quantidade. Me deu uma sensação de'comida da mãe'. Pratos bem apresentados. A equipe atenciosa e bom preço.
negative,Depois de um passeio curto por esta cidade doce nós descemos para ter alguma lanchonete. Fomos recebidos por um anfitrião muito dedicado e simpático. Ele nos deu muitas dicas sobre comida e vinhos. Nós nos sentimos muito confortáveis ​​e amor para voltar.
positive,"Restaurante restaurante restaurante restaurante restaurante restaurante restaurante simp simp simp simp motivo motivo motivo motivo motivo motivo motivo motivo motivo motivo Experimente este lugar com pessoas graciosas, como cozinheiro caseiro, excelente comida portuguesa e preços fantásticos! 5 estrelas em serviço, preço e valor =)"
positive,"Este pequeno restaurante serve tanto para casais como para grupos de amigos. Ambas as nossas visitas foram excelentes. A primeira foi uma refeição italiana, a segunda foi café, Brandy e sorvete. O serviço e simpatia não poderia ser superado. Um casal maravilhoso. A localização é literalmente oposta à Pousada Beja."
positive,"É um pequeno restaurante de comida italiana. O proprietário é muito simpático, usando seu telefone celular com os aplicativos de tradução on-line do Google para se comunicar conosco. Eu pedir macarrão de cogumelos e bacon, gosto é excelente. É muito melhor do que muitos outros restaurantes italianos nas grandes cidades. Os outros pratos, como peixes grelhados, também são bons. Preço de comida é muito razoável, um lugar agradável e amigável para desfrutar da sua refeição."
