,Avaliações
0,"Estadia muito agradável. A herdade é bonita e bem cuidada, a cama confortável, óptimo pequeno almoço, todos muito simpáticos. Óptimo programa com crianças ou para um fim de semana em contacto com a natureza. Fomos muito bem recebidos e tencionamos voltar.
"
1,"Qualidade dos quartos, excepcional simpatia e disponibilidade de toda a equipe, a flexibilidade que demonstraram no check-in, aliado à localização da propriedade e ao excelente pequeno-almoço fazem com que seja uma excelente escolha para um fim de semana de descanso, uma reunião de equipe de trabalho ou mesmo um evento familiar. A não perder.
"
2,"A Herdade das Barradas da Serra é óptima para descansar e desfrutar da natureza, ouvindo as ovelhas a balir. O espaço exterior está muito bem arranjado e gostamos de ficar nos quartos ao pé da piscina. O pequeno almoço é muito bom, preparado com produtos da herdade e servido com simpatia.
"
3,"O local, as pessoas, a comida... tudo fantástico. Adorámos o espaço, e o facto de ter a piscina mesmo em frente aos quartos, permitiu-nos ter a bebé por perto e com facilidade logística.  Fica muito próximo das praias do Carvalhal e do pego (20 min de carro). Tem actividades interessantes para entreter durante vários dias.   Como sugestão deixaria apenas o rever as redes mosquiteiras colocar nas portadas das varandas.  mas deixo nota 10... foi muito bom mesmo... Pretendo regressar.
"
4,"A Herdade Barradas da Serra é um lugar encantador, que nos convida a desfrutar de hectares de natureza e de acomodações acolhedoras e meticulosamente decoradas. O pequeno-almoço é a cereja no topo da estadia - delicioso, preparado com produtos da herdade e servido com simpatia.  A herdade é maravilhosa e a família Dias é um exemplo vivo da arte de bem receber. Um lugar a recomendar, e onde queremos muito voltar.
"
5,"Excelente localização, decoração cuidada e um serviço sempre atento ao Cliente. Para além de aproveitar os espaçoa interiores, a Herdade tem muitos trilhos na serra a explorar. A cereja em cima do bolo é o pequeno almoço, é excepcional! É o meu tefúgio de eleição!😍
"
6,"Quartos espetaculares. Ambiente muito acolhedor onde nos sentimos em casa. A repetir sem qualquer tipo de dúvidas.  Os anfitriões são de tirar o chapéu. Toda a família envolvida no negócio, um exemplo a ser visto e para seguir.  Obrigado
"
7,"Os quartos óptimos, a piscina óptima, um ambiente muito tranquilo e o pequeno almoço maravilhoso! Não jantei mas tive pena porque o ambiente é muito acolhedor. Muito perto da praia do pêgo e do Carvalhal.
"
8,"A Herdade é lindíssima e muito bem cuidada.  Existem percursos bem sinalizados a fazer para poder conhecer melhor. O pessoal é muito atencioso e os quartos magníficos e muito confortáveis. Lençóis excelentes. A limpeza diária dos quartos também foi para nós uma  mais-valia. Gostámos particularmente do pequeno almoço servido no exterior que tinha uma boa seleccao de produtos. Existe igualmente a possibilidade de fazer refeições ligeiras, serviço que aproveitamos e com o qual ficamos muito satisfeitos. O silêncio e calma são parte do ambiente geral o que foi perfeito para descansar. Talvez por isso mesmo nos pareça menos apropriado para famílias com filhos usufruírem da zona da piscina. As praias são também facilmente acessíveis.
"
9,"Absolutamente incrível. Quartos fantásticos, serviço inacreditável. É sempre difícil quebrar a barreira daquele “desconforto” intrínseco de dormir em hotéis longe de casa, no entanto tenho de assumir que na herdade isso foi possível. Fomos passar o fim de semana em família e pareceu-nos que nunca tínhamos saído de casa.  Devo também atenção especial ao excelente “saber receber” da família Dias, sempre muito disponível e com uma simpatia inexcedível, personalizado na mãe Elsa.  Não posso esquecer todas as refeições maravilhosas que foram servidas. Desde o jantar com bochechas e bacalhau aos pequenos almoços com um sumo de laranja fresco e um pão tradicional e delicioso.  Por fim, os quartos...muito bem equipados, com uma decoração de bom gosto, extremamente cuidados e super
"
10,"Escolhemos a HBS para descansar, recuperar energias, aproveitar o tempo a dois e disfrutar do Alentejo. A HBS é extremamente bem localizada, perto da praia, rodeada pelo campo e natureza alentejana e perto das vilas de Grândola e Melides. A herdade é bastante tranquila, acolhedora, perfeitamente integrada na natureza circundante e com todas as facilidades e serviços que se pode desejar. O serviço é de proximidade, simpático e muito proativo. Ideal. Aconselho vivamente.
"
11,"A herdade reflete a essência pura do Alentejo que alia na perfeição a natureza, o trabalho no campo e a nobreza de bem receber. Sentimo-nos em casa, ou melhor, na casa e no espaço com que sempre sonhámos no campo. As áreas sociais refletem o extremo bom gosto e a elegância de onde se destaca a grande lareira chão de sala. O alojamento alia o conforto à arquitetura rústica muito bem conseguida. Uma séria mais valia é o serviço de refeições onde o atendimento prima pela excelência e profissionalismo, destacando sabores autênticos e genuínos de uma carta muito equilibrada e diversificada. Apesar de nos sentirmos inteiramente no campo rapidamente alcançamos as praias da região, o que faz da localização estratégica da Herdade das Barradas da Serra, ""o"" meu local de escapadinha de fim
"
12,"Fim-de-semana, com a natureza, boa gastronomia, sem pressa, descanso em abundância, bom gosto, muita paz, alegria e retemperando as energias da melhor maneira que conheço- com amigos! Voltarei sempre!
"
13,"alojamento 5 estrelas, quartos super confortáveis, comida ótima local, as pessoas sao super disponíveis e muito simpáticas. excelente sitio pra descansar e carregar baterias..um fim de semana a repetir muito brevemente! obg a todos!
"
14,"Herdade  muito bonita e bem cuidada. Alojamento, serviço e refeições com nota muito positiva.  Excelente para os praticantes de BTT, circuito e trilhos fantásticos para todos os gostos e níveis de dificuldade . Nos quartos, apenas duas notas que não sendo muito relevantes na avaliação geral, merecem um comentário. a tv de quarto podia ser maior e com mais canais e a banheira é excessivamente escorregadia, podendo provocar acidentes a pessoas de mais idade.
"
15,"Um lugar onde tudo se equilibra.  Natureza, espaço, arquitetura, decoração , gastronomia, serviço, tempo. Tudo aqui funciona de forma harmoniosa e mágica , proporcionando uma experiência única e relaxante.
"
16,"Lugar fantastico, bem localizado, super limpo e cuidado, quartos grandes frescos e bem cheirosos, otimo pequeno almoço com varias opçoes. A Herdade é enorme, com varios caminhos a percorrer, uma piscina grande e calma para relaxar. O cao da Herdade é um querido e faz parte da experiencia. Eu voltarei sem exitaçao e recomendo a qualquer pessoa que queira passar uns dias no Alentejo, perto de tudo mas longe de todos, muito calmo e ao mesmo tempo perto das belas praias Alentejanas.
"
17,"Amabilidade da anfitriã, edificios com história, espaços verdes, tranquilidade do campo, paisagens maravilhosas. As melhores praias do mundo muito perto. Super pequeno almoço fenomenal. E muito importante, com medidas de segurança face ao covid.
"
18,"Conseguimos uma noite por acaso numa das casinhas com cozinha. Muito bem construído e decorado com muito bom gosto. Fomos recebidos pela proprietária que é super simpática assim como todo o staff. Queríamos ficar mais tempo mas não foi possível pois estava tudo esgotado. É um pedaço de paraíso em pleno Alentejo com um sossego fenomenal ideal para descansar e relaxar na piscina que é ótima. A comida é fabulosa tudo confecionado com muito amor e cuidado. Ambiente familiar é muito sossegado. A Herdade esta a 20 minutos da praia de Melides que é fabulosa. Adoramos e vamos voltar. Simplesmente o melhor turismo rural que já ficamos. Os nossos parabéns aos proprietários.
"
19,"A repetir. Serviço personalizado e familiar. Pequenos almoços inesquecíveis  com surpresas diárias  e a família Dias como anfitriã perfeita.  Quartos muito acolhedores e bem decorados. Aconselho a estadia para famílias, casais e para eventos de empresa.
"
20,"O prazer de ser recebido com um nível de qualidade irrepreensível, num ambiente que respira tranquilidade e onde a atenção aos detalhes deixa claro que nada é fruto do acaso. Tudo isto embrulhado na simpatia de todos os que, com um sorriso, nos fazem ter vontade de voltar.  Voltaremos! 🤍
"
21,"Foi uma surpresa muito agradável a visita à Herdade. O espaço está muito cuidado e tem todas as condições de segurança necessárias nesta altura que atravessamos. Fomos muito bem recebidas e mimadas pelos anfitriões. Foi uma maneira diferente de conhecer a zona e passar um aniversário. Recomendo vivamente para quem gosta de sossego e para descobrir ou redescobrir esta zona. Obrigada. Vanessa Nunes
"
22,"Excelente serviço , óptimos quartos. Almoçamos uma excelente canja de garoupa e umas favas. Passeio de btt organizado pelo anfitrião . A família Dias não pode ser mais simpática e eficiente  Vou voltar e recomendar.
"
23,"Além da natureza envolvente da própria herdade e do excelente bom gosto nos diversos pormenores arquitetônicos e decorativos, a nossa experiência encantadora foi ainda mais potencializada pelo atendimento muito especial e personalizado que superou às nossas expectativas de celebrar uma data especial.  Nossos agradecimentos à toda equipa da Herdade das Barradas da Serra que tornaram o nosso passeio memorável.  Retornaremos de certeza e, para a próxima, levaremos conosco amigos e familiares.
"
