sentiment,review
positive,Todo o staff foi muito simpático!
positive,do barulho nos corredores
positive,do preço
positive,Poderiam renovar os colchões das camas !
positive,"A falta de bens higiénicos, copo, shampo."
positive,Espaço exterior privado
positive,A relação preço qualidade.
positive,O chão tinha bastante areia. E o pequeno almoço não era incrível comparado com outras pousadas de juventude.
positive,A localização é boa e em termos de qualidade/preço é satisfatória.
negative,Eram 23 horas e não conseguíamos reservar nenhum hotel e eles atenderam e mostraram toda a disponibilidade em nos acolher. Pequeno almoço simples mas farto.
positive,Localização.
positive,"Uma vez que o quarto era para 6 pessoas penso que este devia estar equipado com mais tomadas electricas, o quarto so tinha uma tomada apesar da recepção disponibilizar uma tripla para resolver a situação."
positive,A organização dos balneàrios para o uso dos hospedes.
positive,"De partilhar a casa de banho com pessoas de outro género. Não  me importo de partilhar a casa de banho com pessoas do meu género, mas se for uma casa de banho mista sinto-me desconfortável. De resto gostamos muito."
negative,Simpatia e disponibilidade dos empregados
positive,A exceção das camas
positive,Tudo
negative,Não ter TV no quarto
negative,Boa localização e o pequeno almoço é razoável
positive,WC
negative,"Pequeno-almoço, funcionários sempre prestaveis e simpáticos"
positive,Muito bom em todos os aspectos!
negative,"Casa de banho partilhada mista, sem condições para o efeito"
positive,Localização e funcionários
positive,Casas de banho sem diferenciação de género.
positive,"Como estamos no verão e como as temperaturas estão muito elevadas é lamentável não haver água fria à disposição (pois nas casas de banho, a água fria, na realidade está quente), como por exemplo numa máquina. . Uma das camas do quarto fazia muito barulho!"
negative,Funcionários muito atenciosos. . Quarto (0.01) muito grande. . Tudo muito limpo.
positive,Quartos sem TV
positive,"Simpatia dos funcionários, comodidades."
positive,O barulho dos beliches...... A limpeza do chão da zona dos duches
negative,Funcionários e area dos quartos
positive,A simpatia do atendimento.
positive,"Não se trata de não ter gostado, mas gostaria muito mais se a funcionária que serviu o pequeno almoço tivesse a mesma simpatia, disponibilidade e cordialidade das funcionárias da recepção."
positive,A simpatia das funcionárias da recepção
negative,"A simpatia na recepção, a limpeza, o pequeno almoço. Só passamos uma noite, mas foi uma noite agradável. Acho que podia ter uma TV no quarto"
