sentiment,review
positive,Simpatia dos funcionários.
positive,"Limpeza excelente, instalações muito boas, simpatia dos funcionários. Definitivamente um bom hotel com qualidade/preço acima da média. Fala-se muito do barulho dos carros nos comentários mas eu não considerei que fosse algo incomodativo e praticamente não se ouvia nada da rua. A repetir, caso volte a Beja."
negative,não tinha frigobar no quarto e a cama de casal eram duas camas de solteiro na verdade
positive,hotel é acessível para pessoas com mobilidade reduzida e possui boa estrutura e localização! café da manhã muito bom
positive,"Os quartos não são insonorizados. Ouve-se tudo do quarto ao lado - tive de mandar calar os hóspedes do quarto ao lado porque estavam a fazer muito barulho à 1h da manhã e eu queria dormir - e para quem é sensível ao ruídos dos carros, apesar do quarto que me foi atribuído ser virado para as traseiras, ouve-se cada carro a passar na estrada. A persiana e os vidros não ajudam à insonorização e portanto ao conforto no quarto. É pena. Porque o hotel tem qualidades mas esta desfavorece muito a experiência geral."
negative,"A limpeza, o pequeno-almoço e a simpatia dos funcionários"
positive,confortável
positive,Localização do quarto mesmo junto à entrada do hotel e a uma rua com muito trânsito. Insonorização.
positive,Cama muito confortável. Bom pequeno almoço. Garagem gratuita.
negative,Wc’s necessitam de um update.
negative,Instalações comuns e pequeno almoço
positive,Nada a apontar.
positive,"Quartos limpos, sem grandes barulhos (depende muito de quem está, também). Atendimento cordial por parte dos empregados. Pequeno-almoço bastante completo. Preço em conta e localização rápida de encontrar."
positive,Pequeno almoço e o serviço deste deveria ser melhor mesmo em clima de pandemia!
negative,Nesta época de restrições pandémicas a sala de pequeno-almoço é muito pequena para a quantidade de pessoas que aguardam a bandeja do pequeno-almoço. Muitíssimo mal organizado o serviço de pequeno-almoço
positive,Simpatia e amabilidade dos rececionistas
positive,Área do pequeno almoço pequena e pequeno almoço pouco variado.
positive,"Do tamanho do quarto e do conforto, simpatia do funcionário da receção."
positive,"O pequeno almoço correspondeu às expectativas. Os funcionários foram muito atenciosos. Contudo, deveria estar um funcionário a controlar as entradas dos hóspedes na sala dos pequenos almoços."
positive,"De tudo em geral,mas ainda mais por termos acesso a garagem grátis."
negative,Quarto cuidado e limpo. Cama confortável.
negative,"Talvez por ter ficado numa suite, no canto do edifício, o sinal Wi-Fi era fraco e falhava muito."
negative,A limpeza e simpatia de todo o staff que encontrámos.
positive,Boa localização. Bom pequeno-almoço. Limpeza excelente.
negative,"Localização junto há estrada, demasiado barulho durante a noite."
positive,"Simpatia dos funcionários, disponibilização de garagem coberta, espaço do quarto e comodidades gerais do hotel."
negative,Wi-Fi com problemas e o facto de não ter uma piscina exterior
positive,Do conforto e comodidades
positive,O facto de não ter piscina exterior
positive,Staff muito atencioso. Limpeza e higiene. Boas comodidades e boa localização.
positive,Nada a apontar. Obrigado.
negative,De tudo.
negative,"Pequeno almoço pouco variado, não obstante de ser servido alimentos de boa qualidade. As tomadas elétricas estão mal coladas no quarto, sendo que tive de ter cuidados adicionais ao ligar equipamentos na tomada (pois ouvia-se faíscas e interferência com a iluminação)."
positive,"Os croissants são fantásticos. A minha suite era enorme e muito limpa. Tinha um bom terraço e boas acomodações no geral. A TV tem alem dos canais generalistas, vários outros oferecido pelas operadoras em Portugal. A garagem privativa gratuita é muito bem destacada no meu comentário pelo facto de se tratar de uma localização cujos lugares são escassos para as viaturas na via publica. Assim a garagem é essencial (bem como é gratis!!). O hotel dispõe de um bar de elevada qualidade."
positive,A insonorização podia ser melhor
positive,Mais variedade
positive,Estava de acordo com o esperado.
positive,"Insonorização dos quartos muito má. Ouvia-se tudo, mesmo sem as pessoas estarem a falar alto."
positive,Limpeza
